Name;Jahr;Listenplatz;Partei;Wahlkreis;Bundesland
Diening, Hanns;2009;34;5;;11
Diepgen, Eberhard;2009;;2;83;8
Diepmans, Sascha;2009;32;2;;13
Diesterhöft, Brigitte Margarete;2009;;6;117;9
Dietrich, Klaus;2009;;9;187;11
Dietrich, Robert;2009;;9;215;14
Dietze, Martina;2009;29;6;;10
Diller, Karl;2009;7;1;205;13
Dillschneider, Dirk;2009;7;2;;16
Dinar, Erkan;2009;8;6;242;14
Dingeldein, Prof. Dr. Heinrich;2009;19;5;173;11
Dippel, Konrad Willibald;2009;;32;236;14
Ditsche, Frank;2009;;32;78;8
Dittmar, Ansgar;2009;39;1;;11
Dittrich, Frank;2009;20;5;;10
Dittrich, Manfred;2009;29;1;;11
Djir-Sarai, Bijan;2009;18;5;109;9
Dobler, Wolfgang;2009;27;5;295;15
Dobrindt, Alexander;2009;;3;227;14
Döhler, Rico;2009;;9;253;14
Dohrmann, Knut;2009;36;6;;4
Dohrn, Renate;2009;6;22;;8
Doll, Pauli;2009;;16;227;14
Domanski, Dennis;2009;18;5;37;4
Domes, Norbert Josef Wilhelm;2009;;6;170;11
Dommert, Elfriede;2009;2;12;287;15
Donath, Christian;2009;12;9;;12
Döngelli, Adnan;2009;;32;126;9
Dörfler, Ernst;2009;4;4;67;7
Dörfler, Jürgen;2009;56;3;;14
Dörfler, Roland;2009;;4;216;14
Dörflinger, Thomas;2009;;2;289;15
Döring, Dr. Frank Markus;2009;20;2;;1
Döring, Patrick;2009;6;5;42;4
Dörmann, Martin;2009;42;1;94;9
Dormuth, Dennis;2009;;9;130;9
Dorn, Hubert;2009;3;16;;14
Dorn, Rudolf;2009;;9;228;14
Dorner, Thomas;2009;6;6;;16
Dosch, Barbara;2009;4;22;;11
Dött, Marie-Luise;2009;15;2;118;9
Dotten, Horst;2009;17;22;120;9
Dotz, Kurt;2009;;9;121;9
Dramsch, Lutz;2009;3;11;;4
Dreibus, Werner;2009;2;6;;11
Dressel, Dr. Carl-Christian;2009;21;1;239;14
Dreßler, Jörg;2009;17;23;;8
Drewes, Otto;2009;49;1;;4
Drexler, Gerhard;2009;39;5;228;14
Driesch von den, Nicole;2009;64;1;;9
Drinkard, Heidi;2009;;9;262;15
Drobinski-Weiß, Elvira;2009;19;1;285;15
Droese, Jens-Uwe;2009;7;5;74;7
Dröst, Gabriele;2009;;6;145;9
Droste, Nils;2009;25;5;;11
Dubrau, Wilfried;2009;2;11;;4
Ducke, Kai-Uwe;2009;2;15;167;10
Dückert, Dr. Thea Gerda;2009;5;4;28;4
Duin, Garrelt;2009;30;1;25;4
Dujic, Sven;2009;57;1;;4
Dülfer, Heike;2009;;4;228;14
Dulitz, Dr. Sonja;2009;26;5;;11
Dullinger, Angelica;2009;40;1;227;14
Düllings, Paul;2009;80;2;;9
Dumberger, Andrea Brigitte;2009;1;22;;14
Dümpe-Krüger, Jutta;2009;;4;136;9
Dunskus, Adrian Walter Erich;2009;24;5;222;14
Dürheide, Dieter;2009;8;11;;4
Düsterhaus, Inge;2009;14;11;;4
Dutzmann, Folker;2009;;6;292;15
Dyckmans, Mechthild;2009;5;5;170;11
Dzembritzki, Detlef;2009;;1;78;8
Ebbenga, Heiko Gerold;2009;;9;46;4
Ebbing, Hartmut Heinrich Wilhelm;2009;5;5;82;8
Ebenfeld, Walter;2009;3;11;;5
Ebert, Andreas Kurt;2009;;12;193;12
Ebner, Dr. Walter;2009;10;14;;15
Eckart, Bernd;2009;20;4;176;11
Eckert, Dr. Detlef;2009;12;6;68;7
Eckstein, Alexander;2009;16;23;;8
Eckstein, Helmut;2009;9;9;191;12
Eckstein, Herbert Walter Gustav;2009;3;8;;10
Edathy, Sebastian;2009;17;1;40;4
